mfiid,year,liabilities_and_equity,operating_expense_._assets,percent_of_female_borrowers,average_loan_balance_per_borrower,gross_loan_portfolio_to_total_assets,operational_self_sufficiency,lassets,debt_to_equity_ratio,donations_assets_ratio,capital_.asset_ratio,asset_structure,kkm,education,finefftheta_hat,se_no_breadththeta_hat,se_with_breadththeta_hat,finsoc_with_breadththeta_hat,finsoc_no_breadththeta_hat
100003,2000,164098187,0.1361,NA,1110,0.8836,1.7445,8.21510378287975,2.82,0,0.2619,NA,-5.21458977882161,0.798439558254518,NA,NA,NA,NA,NA
100003,2001,127380923,0.1281,NA,658,0.8416,1.2542,8.10510439145147,2.91,0,0.2556,NA,-5.21458977882161,0.800645177990177,NA,NA,NA,NA,NA
100003,2002,197187920,0.1341,NA,1110,0.8879,1.2523,8.29488030594984,2.7,0,0.2699,NA,-5.00195164460901,0.793334516384538,NA,NA,NA,NA,NA
100003,2003,291137895,0.1626,NA,1110,0.1191,1.2229,8.46409873762112,2.94,0,0.254,NA,-5.16847412922304,0.791955750729158,NA,NA,NA,NA,NA
100003,2004,365844882,0.1381,NA,1110,0.1125,1.1556,8.56329698383379,2.86,0,0.2588,NA,-5.14460575262696,0.807629419550436,NA,NA,NA,NA,NA
100004,2004,139069775,0.23965,0.4437,165,0.2963,1.2159,8.14323275201179,0.7,0,0.5879,0.219088338929145,-5.14460575262696,0.807629419550436,0.4048220154649602,0.8919797334806325,0.8919797334806325,0.8919797334806325,0.8919797334806325
100004,2005,202799352,0.4585,0.2571,247,0.4268,1.2603,8.30706656297257,1.22,0,0.4506,0.145167475683058,-5.23319525851152,0.824899830832537,0.4077695601143974,0.8517940071327008,0.8517940071327008,0.8518007841703308,0.8517940071327008
100004,2006,303972538,0.3474,0.4958,339,0.4113,1.2884,8.48283434961602,0.96,0,0.5099,0.0904545528385857,-5.16222267227513,0.853164736142812,0.40961917986038515,0.9028113242181834,0.9028113242181834,0.9028113242181834,0.9028113242181834
100004,2007,380359067,0.3288,0.4962,490,0.7465,1.2717,8.58019377342693,1.41,0,0.4146,0.0796193403219174,-4.65490206939911,0.854761246843895,0.4085214061407594,0.9028938582595143,0.9028938582595143,0.9029062424862556,0.9028938582595143
100004,2008,491049605,0.2803,0.4437,499,0.6485,1.2323,8.69112536603256,2.53,0,0.283,0.0483223196972127,-4.56515752179025,0.84534960716624,0.4059143479582186,0.8919797334806325,0.8919797334806325,0.8919894867582882,0.8919797334806325
100004,2009,1229044430,0.199,0.4437,906,0.591,1.2399,9.08956758293125,4.49,0,0.1821,0.029679951439998,-4.38905595236539,0.869949417773084,0.406419116353691,0.8919797334806325,0.8919797334806323,0.8919931561382158,0.8919797334806325
100004,2010,2074643247,0.1518,0.4437,906,0.756,1.234,9.31694342674458,3.18,0,0.239,0.0259832099219707,-4.28513801978507,0.895042059830775,0.4109058667933726,0.8919797334806325,0.8920345655572207,0.8920853008263292,0.8919797334806325
100004,2011,3162228112,0.1295,0.4437,906,0.8001,1.267,9.49999319520074,3.56,0,0.2195,0.0229923201062226,-4.31129473361834,0.930032463278533,0.4200639465426923,0.8919797334806325,0.8920788127049205,0.89211756906252615,0.8919797334806325
100004,2012,4274997101,0.0966,0.4437,906,0.7995,1.2666,9.63093582455656,3.5,0,0.222,0.0181896111653059,-3.98878747343402,0.957353733246019,0.4308207803803705,0.8919797334806325,0.8921201617295934,0.8921395660539508,0.8919797334806325
100005,1999,290750,0.913,0.78,143,0.3531,0.4722,5.46351972340049,-5.12,0.27676698194325,-0.243,NA,-5.21458977882161,0.789808822635507,0.3896558240402396,0.959193117223174,0.959193117223174,0.959193117223174,0.959193117223174
100005,2000,323637,1.1658,0.78,64,0.5622,0.4058,5.51005816676363,-1.89,0.586342105507096,-1.1209,NA,-5.21458977882161,0.798439558254518,0.3819253596794052,0.959193117223174,0.959193117223174,0.959193117223174,0.959193117223174
100005,2001,558474,0.913,0.7801,65,0.6399,0.4281,5.74700295915374,-2.2,0.00166704269133388,-0.8347,NA,-5.21458977882161,0.800645177990177,0.3755539506401366,0.9592122002384909,0.9592122002384909,0.9592122002384911,0.9592122002384911
100005,2002,521158,0.765,0.75,87,0.988,0.2685,5.71696940876117,-1.85,0.00759654461794696,-1.1824,NA,-5.00195164460901,0.793334516384538,0.36202566736194347,0.9534452978042594,0.9534452978042594,0.9534452978042594,0.9534452978042594
100011,2001,16621,1.25225,0.2609,4095,0.844,0.1025,4.22065714949725,-1.05,0,-18.3526,NA,-5.08521288691602,0.800645177990177,0.4105425553382489,0.8526350997648732,0.8527617543732824,0.8528047099587427,0.8526350997648732
100011,2002,125083,1.7863,0.2609,4095,0.9408,0.2086,5.09719828884705,-1.23,0,-4.3656,NA,-5.00195164460901,0.793334516384538,0.3787094789510671,0.8526350997648732,0.8527505400225894,0.8527826341633717,0.8526350997648732
100011,2003,519879,0.7182,0.2609,4095,0.9059,0.4072,5.71590227489017,-1.64,0,-1.5672,NA,-5.16847412922304,0.791955750729158,0.3747666569724405,0.8526350997648732,0.8527373267401094,0.8527817863877298,0.852635099764873
100019,2001,42691,0.59915,0.9915,107,0.5942,0.3909,4.63033632789824,0,1.15668407861142,1,NA,-5.08521288691602,0.800645177990177,0.4199561021619739,0.9984655055406448,0.9984655055406448,0.9984655055406448,0.9984655055406448
100019,2002,88224,0.6624,0.9915,142,0.9444,0.4083,4.94558674442568,0,0.48121826260428,1,NA,-5.00195164460901,0.793334516384538,0.40563019482425705,0.9984655055406448,0.9984655055406446,0.9984655055406448,0.9984655055406448
