"","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)","Estimate","Std. Error","t value","Pr(>|t|)"
"year2005",-0.000303487194321684,0.00856718676537726,-0.0354243700567114,0.971743649446828,-0.0127509974464382,0.00597997395912501,-2.13228310584549,0.0330625233285609,-0.0123426431413212,0.00596323408435162,-2.0697901452016,0.0385552401980733,-0.0128481081575682,0.00597786785750475,-2.14927938586639,0.031689996940723,-0.0124425773213563,0.00596338373669065,-2.08649616907955,0.0370158163405081
"year2006",-0.00167864430938438,0.00862868873234035,-0.194542225528754,0.845764174778667,-0.0149873209203382,0.00601612970507324,-2.49118979394674,0.0127839002419977,-0.0142235539760057,0.00600117143189269,-2.37012958843599,0.0178431570129249,-0.0150661346955882,0.00601384777714088,-2.5052404473648,0.0122880857747969,-0.0143135600530775,0.00600135973365449,-2.38505283607809,0.0171368493632997
"year2007",-0.002227235545971,0.00851333206504951,-0.261617370138145,0.793633955350729,-0.0177757658258492,0.0060199783786271,-2.95279562613696,0.00317292757123799,-0.0169533268630063,0.00599482636573468,-2.82799297739604,0.00471436999548568,-0.0178348472532659,0.00601692667299147,-2.9641124485233,0.00305886130702404,-0.0170088776000453,0.00599439669140316,-2.83746279662114,0.0045771254945976
"year2008",-0.00130971573401572,0.00864496410792458,-0.151500424717223,0.879590904216865,-0.0212306811331976,0.00601286237986491,-3.53087760735921,0.000420259162655663,-0.0206346748605254,0.00599524160623474,-3.44184208340602,0.000585469288202399,-0.0213267523695068,0.00600996269533906,-3.54856651374,0.000393123769535652,-0.020739085786961,0.00599424635088616,-3.4598320744517,0.00054785952869698
"year2009",-0.0047010426646457,0.00866861302490152,-0.542306208748903,0.587646838036908,-0.0205186683507135,0.0061548747074135,-3.33372640811013,0.00086704932250302,-0.0198343009272623,0.00614176669550585,-3.22941295405698,0.00125349076671615,-0.0205941715659838,0.00615239340583136,-3.34734309195251,0.000825704353487303,-0.0199095021813476,0.00614145700876121,-3.24182065476405,0.00120035572147965
"year2010",-0.00396417407328692,0.0086786748951713,-0.456771813804494,0.64786729866655,-0.0196966564910143,0.00624108354235617,-3.15596744657231,0.00161511727678561,-0.0191461022224572,0.00622215450059306,-3.07708563338186,0.0021087445612606,-0.0198153403873384,0.0062386207265236,-3.17623738578837,0.00150674295436634,-0.0192990767264362,0.00622207278767669,-3.10171182257135,0.00194148425223999
"year2011",-0.00617117361576867,0.00872464543599138,-0.707326579749706,0.479417099653079,-0.0232251970181975,0.0063664527534787,-3.64805927531733,0.000268611554536251,-0.0227951795156389,0.00634819296633556,-3.59081389562693,0.000334798570067971,-0.0231065841149144,0.00636265750957203,-3.63159325802979,0.000286270080446339,-0.0226263494263504,0.00634691817427745,-3.5649347927707,0.000369481611904813
"year2012",-0.00607471995077135,0.00873541017420762,-0.695413246730842,0.486848858030137,-0.020954666849369,0.00645829694254401,-3.24461185910023,0.00118869305177603,-0.0206644854150517,0.00644104378388911,-3.20825103948827,0.00134915447101661,-0.020834115867725,0.0064534465933151,-3.22837038572634,0.00125805302387479,-0.0204953065918593,0.00643746646589821,-3.1837535310562,0.00146829061755182
"year2013",-0.000940523138452646,0.00927082286920257,-0.101449801352266,0.919200012401948,-0.0238895128605852,0.00661141217568358,-3.61337521028406,0.000307072830684361,-0.0234208465285114,0.00660129428985308,-3.5479173477407,0.000394089958371476,-0.0245132393170556,0.00659639593102156,-3.71615645473533,0.000205874395838066,-0.0241979389383125,0.00657580454581722,-3.67984461364571,0.000237376092194592
"year2014",-0.000675784728888443,0.00895548123447481,-0.0754604594878674,0.939853260471473,-0.0252917104388448,0.00673646660520228,-3.75444753475259,0.000176936658641707,-0.0249670472814926,0.00671849227130608,-3.71616819269466,0.000205864879739503,-0.0253636292434715,0.00673504080602715,-3.76592064902914,0.000169040594783413,-0.025040837544,0.00671880807906548,-3.72697616144483,0.000197276005372088
"year2015",0.000534846896906249,0.00893170984880102,0.0598818038158781,0.952253659783325,-0.0272260277376788,0.00694607301110034,-3.9196287879741,9.06168744138513e-05,-0.0267878250283046,0.00692830163040478,-3.86643458344055,0.00011272128464321,-0.0273043255164671,0.00694468609936998,-3.93168605834383,8.6210852741986e-05,-0.026889540844051,0.00692957991519552,-3.8803998471951,0.000106470664332325
"year2016",0.00430802768898425,0.00899426074847856,0.478975183114742,0.631990307614538,-0.0301290060728459,0.00715308448921626,-4.21202994572024,2.60346688682704e-05,-0.0297015407766968,0.00713598829019881,-4.16221826169354,3.23808283365277e-05,-0.0302211894046129,0.00715144906096233,-4.22588333455125,2.4492022827692e-05,-0.0297966083944419,0.00713628219438081,-4.17536857187403,3.05756680829637e-05
"year2017",0.0023690234224548,0.00916301745900193,0.258541843126952,0.796006046751314,-0.0280837637281802,0.00716390083752213,-3.92017761902661,9.04117788136371e-05,-0.0275746252369403,0.00714269209824821,-3.86053673568026,0.000115463726193359,-0.0281934566944015,0.00716149388746234,-3.93681222625351,8.43996619405627e-05,-0.0276905084568248,0.00714245524112227,-3.87688932195169,0.000108010380441989
"year2018",0.0053820352468275,0.00916368036373237,0.587322454865219,0.557030241916872,-0.0302587423160818,0.00731593415911865,-4.13600528079753,3.6285702318596e-05,-0.0297340936003843,0.0072970698379985,-4.07479909888597,4.72174828450672e-05,-0.0303445969674797,0.00731467827585587,-4.14845271700335,3.43787359442923e-05,-0.0298254280406552,0.00729839787744183,-4.08657194928229,4.48976054519794e-05
"year2019",-0.00106224100551403,0.011420231130142,-0.0930139673539889,0.925898518454226,-0.0247038243453343,0.00681491184039705,-3.62496609257604,0.000293679685993211,-0.024249727375817,0.00679346604570735,-3.56956628805703,0.000363037363026167,-0.0248097299878163,0.00681369265688435,-3.64115777408147,0.000275884758761413,-0.0243604748413858,0.00679481870684882,-3.58515449673907,0.000342112183132976
