"","V1","V2","V3","V4","V5"
"r.squared",0.597476629959911,0.824549804594283,0.825015997493875,0.824254269509267,0.824669537306701
"adj.r.squared",0.593030302935426,0.82261175825127,0.823083100780032,0.822312958646146,0.822732813547256
"statistic",249.819206212472,238.862291595259,242.935845835493,240.485404428783,243.32395469547
"p.value",1.0872224987808e-34,1.27880873312404e-32,2.1809593503902e-33,6.32361919648018e-33,1.84229931433937e-33
"deviance",2.48851886837676,1.73359006620276,1.73735815848656,1.72382771667975,1.72271500845584
"df.residual",3078,3078,3078,3078,3078
"nobs",3113,3113,3113,3113,3113
