V1,V2,V3,V4,V5
0.0969536302493283,0.03899454828670322,0.03862017238997429,0.03897591777782491,0.038560358424660164
-0.0051236868512793965,-0.06963426803535899,-0.07005096212128126,-0.06965500447414996,-0.07011753725557712
9.0864757133498,3.4341518015819856,3.3998569861789876,3.4324445165159148,3.394380184552996
1.5089323666559613e-38,1.0575909207208859e-9,1.5203056503355594e-9,1.0769008842563092e-9,1.610851385492816e-9
1.5540762816801905,1.4576275860549066,1.4580337136562687,1.4582575273221454,1.4597489152027805
2539,2539,2539,2539,2539
2827,2827,2827,2827,2827
